runNumber,trialNumber,probRange,outputRange,trialStartTime,presentedProb_1,presentedProb_2,certaintyEquivalent,responseTime,invalidResponses,answer,riskyValue,lotteryExpectedValue,probabilitySequence_1,probabilitySequence_2,trialTimings,lotteryStartTimings,lotteryEndTimings,scaleStartTimings,scaleEndTimings,responseStartTimings,responseEndTimings,noiseType
4,1,50to100,00to100,0.0322429480147548,5316,8435,24,9.00000180400093,NaN,yes,43,27.0999407231772,5316,8435,0,1,10,1,10,1,10,highNoise
4,2,50to100,00to100,10.0386208230047,5283,9970,24,9.00000048201764,NaN,yes,43,22.7852557673019,5283,9970,10,11,20,11,20,11,20,highNoise
4,3,50to100,00to100,20.0265147340251,4825,6514,33,9.00000213601743,NaN,yes,43,31.8506294135708,4825,6514,20,21,30,21,30,21,30,highNoise
4,4,50to100,00to100,30.0335632990173,3836,4851,34,9.00000011900556,NaN,yes,43,34.002886002886,3836,4851,30,31,40,31,40,31,40,highNoise
4,5,50to100,00to100,40.0396432230191,2772,4872,25,9.00000189102138,NaN,yes,43,24.4655172413793,2772,4872,40,41,50,41,50,41,50,highNoise
4,6,50to100,00to100,50.026382534008,2867,5734,24,9.00000098801684,NaN,yes,43,21.5,2867,5734,50,51,60,51,60,51,60,highNoise
4,7,50to100,00to100,60.033260850003,6442,9076,32,9.00000075701973,NaN,yes,43,30.5207139709123,6442,9076,60,61,70,61,70,61,70,highNoise
4,8,50to100,00to100,70.0402245570149,7751,9696,30,9.00000158400508,NaN,yes,43,34.3742780528053,7751,9696,70,71,80,71,80,71,80,highNoise
4,9,50to100,00to100,80.0277530970052,6975,7578,35,9.00000172501314,NaN,yes,43,39.5783847980998,6975,7578,80,81,90,81,90,81,90,highNoise
4,10,50to100,00to100,90.0358319590159,2221,3977,34,9.00000176901813,NaN,yes,43,24.0138295197385,2221,3977,90,91,100,91,100,91,100,highNoise
4,11,50to100,00to100,100.040319127002,4351,4835,35,9.00000016301055,NaN,yes,43,38.6955532574974,4351,4835,100,101,110,101,110,101,110,highNoise
4,12,50to100,00to100,110.026339327014,0962,1636,24,9.00000183400698,NaN,yes,43,25.2848410757946,0962,1636,110,111,120,111,120,111,120,highNoise
4,13,50to100,00to100,120.035349828016,4770,4871,42,9.00000006699702,NaN,yes,43,42.1083966331349,4770,4871,120,121,130,121,130,121,130,highNoise
4,14,50to100,00to100,130.037524562009,6379,9379,25,9.00000138502219,NaN,yes,43,29.2458684294701,6379,9379,130,131,140,131,140,131,140,highNoise
4,15,50to100,00to100,140.027966472,2323,3325,30,9.00000021001324,NaN,yes,43,30.0418045112782,2323,3325,140,141,150,141,150,141,150,highNoise
4,16,50to100,00to100,150.036176252004,4983,9772,21,9.00000204402022,NaN,yes,43,21.9268317642243,4983,9772,150,151,160,151,160,151,160,highNoise
4,17,50to100,00to100,160.037317805021,6455,7249,38,9.00000133999856,NaN,yes,43,38.290108980549,6455,7249,160,161,170,161,170,161,170,highNoise
4,18,50to100,00to100,170.026280491002,2909,4549,30,9.00000091901165,NaN,yes,43,27.4976918003957,2909,4549,170,171,180,171,180,171,180,highNoise
